,spread,history_val,Total Net Profit,Max. Drawdown
0,"['BTC-USD', 'ETH-USD', 'LTC-USD', 'SOL-USD']",1,222.4600284785265,507.7252700519748
1,"['BTC-USD', 'ETH-USD', 'LTC-USD', 'SOL-USD']",2,-197.44610902515706,627.6335825637216
